FY_end,Sales_cr,Sales_YoY,OPM,NPM,CFO_cr,CFO_margin,CFO_to_NP,NetCash_cr,Debt_to_Equity,PE,EPS_INR,PEG_3Y
2016-03-31,62441,,0.273522205,0.21602793,10028,0.160599606,0.743420565,34589,0,20.74560149,29.36285074,
2017-03-31,68484,0.09677936,0.271654693,0.2095818,11531,0.168375095,0.803386052,39048,0,16.35950747,31.24360565,
2018-03-31,70522,0.029758776,0.266895437,0.227290775,13218,0.187430873,0.824630357,31981,0,15.42182532,36.69474841,
2019-03-31,82675,0.172329202,0.243967342,0.186319927,14841,0.17951013,0.963451052,30829,0,21.0971583,35.25830301,3.354689788
2020-03-31,90791,0.098167523,0.245255587,0.18277142,17003,0.187276272,1.024647463,22808,0.07078686,16.46467699,38.9621977,2.155966285
2021-03-31,100472,0.106629512,0.277579823,0.192600924,23224,0.231148977,1.200144695,33594,0.069743684,30.12170242,45.41741967,4.088455485
2022-03-31,121641,0.210695517,0.258884751,0.181764372,23885,0.196356492,1.080280416,32322,0.072647644,36.28017139,52.559013,2.548844405
2023-03-31,146767,0.206558644,0.239358984,0.164171782,22467,0.153079371,0.932434115,23352,0.110056096,24.58598618,58.07983416,1.727316771
2024-03-31,153670,0.047033734,0.237033904,0.170709963,25210,0.164052841,0.961003316,31050,0.094863589,23.70394444,63.19834253,2.036065395
2025-03-31,162990,0.060649444,0.240726425,0.16389349,35694,0.21899503,1.336203347,39769,0.085860694,24.42024724,64.31753064,3.507912329
